,Date,Price,Open,High,Low,Vol.,Change %
0,5/18/18,"2,712.97","2,717.35","2,719.50","2,709.18",-,-0.26%
1,5/17/18,"2,720.13","2,719.71","2,731.96","2,711.36",-,-0.09%
2,5/16/18,"2,722.46","2,712.62","2,727.76","2,712.17",-,0.41%
3,5/15/18,"2,711.45","2,718.59","2,718.59","2,701.91",-,-0.68%
4,5/14/18,"2,730.13","2,733.37","2,742.10","2,725.47",-,0.09%
5,5/11/18,"2,727.72","2,722.70","2,732.86","2,717.45",-,0.17%
6,5/10/18,"2,723.07","2,705.02","2,726.11","2,704.54",-,0.94%
7,5/9/18,"2,697.79","2,678.12","2,701.27","2,674.14",-,0.97%
8,5/8/18,"2,671.92","2,670.26","2,676.34","2,655.20",-,-0.03%
9,5/7/18,"2,672.63","2,669.36","2,683.35","2,664.70",-,0.35%
10,5/4/18,"2,663.42","2,621.45","2,670.93","2,615.32",-,1.28%
11,5/3/18,"2,629.73","2,628.08","2,637.14","2,594.62",-,-0.23%
12,5/2/18,"2,635.67","2,654.24","2,660.87","2,631.70",-,-0.72%
13,5/1/18,"2,654.80","2,643.64","2,655.27","2,625.41",-,0.25%
14,4/30/18,"2,648.05","2,675.05","2,682.92","2,648.04",-,-0.82%
15,4/27/18,"2,669.91","2,675.47","2,677.35","2,659.01",-,0.11%
16,4/26/18,"2,666.94","2,651.65","2,676.48","2,647.16",-,1.04%
17,4/25/18,"2,639.40","2,634.92","2,645.30","2,612.67",-,0.18%
18,4/24/18,"2,634.56","2,680.80","2,683.55","2,617.32",-,-1.34%
19,4/23/18,"2,670.29","2,675.40","2,682.86","2,657.99",-,0.01%
20,4/20/18,"2,670.14","2,692.56","2,693.94","2,660.61",-,-0.85%
21,4/19/18,"2,693.13","2,701.16","2,702.84","2,681.90",-,-0.57%
22,4/18/18,"2,708.64","2,710.11","2,717.49","2,703.63",-,0.08%
23,4/17/18,"2,706.39","2,692.74","2,713.34","2,692.05",-,1.07%
24,4/16/18,"2,677.84","2,670.10","2,686.49","2,665.16",-,0.81%
25,4/13/18,"2,656.30","2,676.90","2,680.26","2,645.05",-,-0.29%
26,4/12/18,"2,663.99","2,653.83","2,674.72","2,653.83",-,0.83%
27,4/11/18,"2,642.19","2,643.89","2,661.43","2,639.25",-,-0.55%
28,4/10/18,"2,656.87","2,638.41","2,665.45","2,635.78",-,1.67%
29,4/9/18,"2,613.16","2,617.18","2,653.55","2,610.79",-,0.33%
30,4/6/18,"2,604.47","2,645.82","2,656.88","2,586.27",-,-2.19%
31,4/5/18,"2,662.84","2,657.36","2,672.08","2,649.58",-,0.69%
32,4/4/18,"2,644.69","2,584.04","2,649.86","2,573.61",-,1.16%
33,4/3/18,"2,614.45","2,592.17","2,619.14","2,575.49",-,1.26%
34,4/2/18,"2,581.88","2,633.45","2,638.30","2,553.80",-,-2.23%
35,3/29/18,"2,640.87","2,614.41","2,659.07","2,609.72",-,1.38%
36,3/28/18,"2,605.00","2,611.30","2,632.65","2,593.06",-,-0.29%
37,3/27/18,"2,612.62","2,667.57","2,674.78","2,596.12",-,-1.73%
38,3/26/18,"2,658.55","2,619.35","2,661.36","2,601.81",-,2.72%
39,3/23/18,"2,588.26","2,646.71","2,657.67","2,585.89",-,-2.10%
40,3/22/18,"2,643.69","2,691.36","2,695.68","2,641.59",-,-2.52%
41,3/21/18,"2,711.93","2,714.99","2,739.14","2,709.79",-,-0.18%
42,3/20/18,"2,716.94","2,715.05","2,724.22","2,710.05",-,0.15%
43,3/19/18,"2,712.92","2,741.38","2,741.38","2,694.59",-,-1.42%
44,3/16/18,"2,752.01","2,750.57","2,761.85","2,749.97",-,0.17%
45,3/15/18,"2,747.33","2,754.27","2,763.03","2,741.47",-,-0.08%
46,3/14/18,"2,749.48","2,774.06","2,777.11","2,744.38",-,-0.57%
47,3/13/18,"2,765.31","2,792.31","2,801.90","2,758.68",-,-0.64%
48,3/12/18,"2,783.02","2,790.54","2,796.98","2,779.26",-,-0.13%
49,3/9/18,"2,786.57","2,752.91","2,786.57","2,751.54",-,1.74%
50,3/8/18,"2,738.97","2,732.75","2,740.45","2,722.65",-,0.45%
51,3/7/18,"2,726.80","2,710.18","2,730.60","2,701.74",-,-0.05%
52,3/6/18,"2,728.12","2,730.18","2,732.08","2,711.26",-,0.26%
53,3/5/18,"2,720.94","2,681.06","2,728.09","2,675.75",-,1.10%
54,3/2/18,"2,691.25","2,658.89","2,696.25","2,647.32",-,0.51%
55,3/1/18,"2,677.67","2,715.22","2,730.89","2,659.65",-,-1.33%
